Code,Genotype,Source,Treatment,Area,r_mm,Area_cm2
WC,WT,Control,Control ,11133,7.28930862758262,1.66925447730112
WC,WT,Control,Control ,10960,7.23245118495261,1.64331528529779
WC,WT,Control,Control ,13692,8.08376498921923,2.05294460641399
WC,WT,Control,Control ,14108,8.2056494459428,2.11531861724282
WC,WT,Control,Control ,5284,5.02182574102173,0.792269887546855
WC,WT,Control,Control ,14745,8.38885373866793,2.21082882132445
WC,WT,Control,Control ,15856,8.69915466917927,2.37740941274469
WC,WT,Control,Control ,5169,4.96687808481994,0.775027072053311
WC,WT,Control,Control ,9176,6.61769788260815,1.37582673885881
WC,WT,Control,Control ,10029,6.91845387181281,1.5037234485631
KC,KO,Control,Control ,24884,10.897837564878,3.73104539775094
KC,KO,Control,Control ,5024,4.89671749799844,0.753286130778842
KC,KO,Control,Control ,19616,9.67576830914373,2.94117451062057
KC,KO,Control,Control ,5284,5.02182574102173,0.792269887546855
KC,KO,Control,Control ,10580,7.10596506201596,1.58633902540608
KC,KO,Control,Control ,12096,7.5980320836633,1.8136443148688
KC,KO,Control,Control ,19616,9.67576830914373,2.94117451062057
KC,KO,Control,Control ,7556,6.00518247653619,1.13292794668888
KC,KO,Control,Control ,12096,7.5980320836633,1.8136443148688
KC,KO,Control,Control ,7860,6.124794292105,1.17850895460225
WG1,WT,Glucose,Glucose 1 mM,14745,8.38885373866793,2.21082882132445
WG1,WT,Glucose,Glucose 1 mM,11513,7.41266692549188,1.72623073719284
WG1,WT,Glucose,Glucose 1 mM,10960,7.23245118495261,1.64331528529779
WG1,WT,Glucose,Glucose 1 mM,5169,4.96687808481994,0.775027072053311
WG1,WT,Glucose,Glucose 1 mM,11304,7.34507624699766,1.69489379425239
WG1,WT,Glucose,Glucose 1 mM,13485,8.02242580808471,2.02190753852561
WG1,WT,Glucose,Glucose 1 mM,21652,10.1655116688726,3.24644731361933
WG1,WT,Glucose,Glucose 1 mM,11881,7.5302038293925,1.78140774677218
WG1,WT,Glucose,Glucose 1 mM,11513,7.41266692549188,1.72623073719284
WG1,WT,Glucose,Glucose 1 mM,12492,7.72140303179808,1.87301957517701
WG10,WT,Glucose,Glucose 10 mM,11684,7.46751335816282,1.75187005414411
WG10,WT,Glucose,Glucose 10 mM,20108,9.79635855494434,3.01494377342774
WG10,WT,Glucose,Glucose 10 mM,12281,7.65591494114319,1.84138275718451
WG10,WT,Glucose,Glucose 10 mM,15856,8.69915466917927,2.37740941274469
WG10,WT,Glucose,Glucose 10 mM,13692,8.08376498921923,2.05294460641399
WG10,WT,Glucose,Glucose 10 mM,11881,7.5302038293925,1.78140774677218
WG10,WT,Glucose,Glucose 10 mM,11684,7.46751335816282,1.75187005414411
WG10,WT,Glucose,Glucose 10 mM,16292,8.81794599556889,2.44278217409413
WG10,WT,Glucose,Glucose 10 mM,15621,8.63444942844841,2.34217409412745
WG10,WT,Glucose,Glucose 10 mM,11881,7.5302038293925,1.78140774677218
KG1,KO,Glucose,Glucose 1 mM,10216,6.98265646709141,1.53176176593086
KG1,KO,Glucose,Glucose 1 mM,13264,7.95641615653285,1.9887713452728
KG1,KO,Glucose,Glucose 1 mM,13085,7.90254718254827,1.96193252811329
KG1,KO,Glucose,Glucose 1 mM,11304,7.34507624699766,1.69489379425239
KG1,KO,Glucose,Glucose 1 mM,10741,7.15982804764227,1.61047896709704
KG1,KO,Glucose,Glucose 1 mM,21401,10.106418253227,3.20881299458559
KG1,KO,Glucose,Glucose 1 mM,8685,6.43821010532895,1.30220741357768
KG1,KO,Glucose,Glucose 1 mM,8021,6.18720480748903,1.20264889629321
KG1,KO,Glucose,Glucose 1 mM,9176,6.61769788260815,1.37582673885881
KG1,KO,Glucose,Glucose 1 mM,11304,7.34507624699766,1.69489379425239
KG10,KO,Glucose,Glucose 10 mM,9176,6.61769788260815,1.37582673885881
KG10,KO,Glucose,Glucose 10 mM,8820,6.48805505662327,1.32244897959184
KG10,KO,Glucose,Glucose 10 mM,10580,7.10596506201596,1.58633902540608
KG10,KO,Glucose,Glucose 10 mM,8021,6.18720480748903,1.20264889629321
KG10,KO,Glucose,Glucose 10 mM,16977,9.00141341483045,2.54548937942524
KG10,KO,Glucose,Glucose 10 mM,9176,6.61769788260815,1.37582673885881
KG10,KO,Glucose,Glucose 10 mM,12645,7.76854437531237,1.89596001665973
KG10,KO,Glucose,Glucose 10 mM,10580,7.10596506201596,1.58633902540608
KG10,KO,Glucose,Glucose 10 mM,10029,6.91845387181281,1.5037234485631
KG10,KO,Glucose,Glucose 10 mM,10216,6.98265646709141,1.53176176593086
WM1,WT,myo-inositol,myo-inositol 1 mM,19116,9.55165758022934,2.86620574760516
WM1,WT,myo-inositol,myo-inositol 1 mM,17449,9.12568566387203,2.61625989171179
WM1,WT,myo-inositol,myo-inositol 1 mM,19861,9.73600503260686,2.97790920449813
WM1,WT,myo-inositol,myo-inositol 1 mM,16977,9.00141341483045,2.54548937942524
WM1,WT,myo-inositol,myo-inositol 1 mM,17200,9.0603392085697,2.57892544773011
WM1,WT,myo-inositol,myo-inositol 1 mM,13264,7.95641615653285,1.9887713452728
WM1,WT,myo-inositol,myo-inositol 1 mM,15380,8.56758460410257,2.30603915035402
WM1,WT,myo-inositol,myo-inositol 1 mM,19116,9.55165758022934,2.86620574760516
WM1,WT,myo-inositol,myo-inositol 1 mM,18893,9.49578113797369,2.83276967930029
WM1,WT,myo-inositol,myo-inositol 1 mM,19116,9.55165758022934,2.86620574760516
WM10,WT,myo-inositol,myo-inositol 10 mM,17449,9.12568566387203,2.61625989171179
WM10,WT,myo-inositol,myo-inositol 10 mM,15380,8.56758460410257,2.30603915035402
WM10,WT,myo-inositol,myo-inositol 10 mM,15856,8.69915466917927,2.37740941274469
WM10,WT,myo-inositol,myo-inositol 10 mM,18624,9.42793794873256,2.792436484798
WM10,WT,myo-inositol,myo-inositol 10 mM,17200,9.0603392085697,2.57892544773011
WM10,WT,myo-inositol,myo-inositol 10 mM,12281,7.65591494114319,1.84138275718451
WM10,WT,myo-inositol,myo-inositol 10 mM,20353,9.85585828630603,3.05167846730529
WM10,WT,myo-inositol,myo-inositol 10 mM,26885,11.3275308703733,4.03107038733861
WM10,WT,myo-inositol,myo-inositol 10 mM,17200,9.0603392085697,2.57892544773011
WM10,WT,myo-inositol,myo-inositol 10 mM,21128,10.0417505354035,3.16788004997918
KM1,KO,myo-inositol,myo-inositol 1 mM,9500,6.73351817427355,1.42440649729279
KM1,KO,myo-inositol,myo-inositol 1 mM,10960,7.23245118495261,1.64331528529779
KM1,KO,myo-inositol,myo-inositol 1 mM,10405,7.04695139885287,1.56009995835069
KM1,KO,myo-inositol,myo-inositol 1 mM,7089,5.81664718749643,1.06290712203249
KM1,KO,myo-inositol,myo-inositol 1 mM,11513,7.41266692549188,1.72623073719284
KM1,KO,myo-inositol,myo-inositol 1 mM,9337,6.6755017395466,1.39996668054977
KM1,KO,myo-inositol,myo-inositol 1 mM,9337,6.6755017395466,1.39996668054977
KM1,KO,myo-inositol,myo-inositol 1 mM,10029,6.91845387181281,1.5037234485631
KM1,KO,myo-inositol,myo-inositol 1 mM,9176,6.61769788260815,1.37582673885881
KM1,KO,myo-inositol,myo-inositol 1 mM,8341,6.30941791521793,1.25062890462307
KM10,KO,myo-inositol,myo-inositol 10 mM,9856,6.85852271637076,1.47778425655977
KM10,KO,myo-inositol,myo-inositol 10 mM,10405,7.04695139885287,1.56009995835069
KM10,KO,myo-inositol,myo-inositol 10 mM,9500,6.73351817427355,1.42440649729279
KM10,KO,myo-inositol,myo-inositol 10 mM,13264,7.95641615653285,1.9887713452728
KM10,KO,myo-inositol,myo-inositol 10 mM,12492,7.72140303179808,1.87301957517701
KM10,KO,myo-inositol,myo-inositol 10 mM,8021,6.18720480748903,1.20264889629321
KM10,KO,myo-inositol,myo-inositol 10 mM,10580,7.10596506201596,1.58633902540608
KM10,KO,myo-inositol,myo-inositol 10 mM,10216,6.98265646709141,1.53176176593086
KM10,KO,myo-inositol,myo-inositol 10 mM,10405,7.04695139885287,1.56009995835069
KM10,KO,myo-inositol,myo-inositol 10 mM,11684,7.46751335816282,1.75187005414411
